plot,plot_yr,yr,repeat_plot,grid_plot,date_samp,jul_day,easting,northing,coord_comments,grassht,forbht,woodyht,woodypct,basal_area,density,dens_c1,dens_c2,dens_c3,dens_c4,avgdens,stddens,waterpct,rockpct,barepct,slope,aspect,TEC,PH,ORG,S,BCA,BMG,BK,BNA,BH,rain6,rain7,rain8,rain9,rain10,rain11,rain12,rain1,rain2,rain3,rain4,rain5,temp6,temp7,temp8,temp9,temp10,temp11,temp12,temp1,temp2,temp3,temp4,temp5,OrBis,bison,YrsOB,BP5Yrs,YrsSLB,burn,date_of_burn,jul_day_burn,logP,logCA,logMG,logK,logNA,logB,logFE,logMN,logCU,logZN,logAL,eastness,northness
303,303.1998,1998,1,1,6/4/1998,155,731000,4082000,NA,0.6,0.5,0.3,1,0,0,NA,NA,NA,NA,0,NA,0,0,25,4,44,18.49,5.8,4.33,28,54.68,12.62,3.19,0.71,28.83,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,4,0.202739726,1,3/22/1998,81,0.903089987,3.305781151,2.447158031,2.361727836,1.477121255,0.250420002,2.133538908,1.643452676,0.311753861,0.655138435,2.810904281,0.017701925,0.999843309
307,307.1998,1998,1,1,6/4/1998,155,731000,4079000,NA,0.6,0.7,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,10,3,270,17.79,5.8,4.08,28,49.94,17.38,1.74,0.95,29.96,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,3,0.202739726,1,3/22/1998,81,0.903089987,3.249687428,2.56937391,2.08278537,1.591064607,0.240549248,2.394451681,1.531478917,0.517195898,0.354108439,2.783188691,-0.176045946,0.984381951
308,308.1998,1998,1,1,6/5/1998,156,730000,4086000,NA,0.6,0.9,0.5,1,0,0,NA,NA,NA,NA,0,NA,0,0,0,7,126,32.67,6.4,8.29,33,71.82,13.37,1.87,0.35,12.59,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,3,0.208219178,1,3/21/1998,80,1.176091259,3.671450554,2.719331287,2.376576957,1.414973348,0.315970345,2.155336037,1.672097858,0.604226053,0.691965103,2.795880017,0.329990826,0.943984139
309,309.1998,1998,1,1,6/5/1998,156,731000,4086000,NA,0.5,0.7,0.4,1,0,0,NA,NA,NA,NA,0,NA,0,5,15,8,120,18.75,5.8,6.44,35,46.59,15.6,1.87,1,34.92,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,4,0.208219178,1,3/21/1998,80,0.954242509,3.242292905,2.545307116,2.136720567,1.633468456,0.252853031,2.426511261,1.380211242,0.271841607,0.606381365,2.839478047,0.580611184,0.814180971
317,317.1998,1998,1,1,6/9/1998,160,733000,4079000,NA,1,0.8,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,2,5,125,22.41,6.6,5.19,35,83.42,14.28,1.61,0.7,0,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,3,0.216438356,1,3/22/1998,81,0.903089987,3.572755465,2.584331224,2.149219113,1.556302501,0.320146286,2.348304863,1.73239376,0.396199347,0.424881637,2.768638101,-0.616040459,0.787714512
319,319.1998,1998,1,1,6/9/1998,160,734000,4079000,NA,0.6,0.8,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,10,1,160,31.42,6.3,5.83,30,73.39,10.69,2.35,0.47,13.09,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,4,0.216438356,1,3/22/1998,81,1.079181246,3.663889299,2.605305046,2.459392488,1.531478917,0.269512944,2.127104798,1.919078092,0.46686762,0.559906625,2.788875116,0.219425258,-0.975629313
331,331.1998,1998,1,1,6/11/1998,162,738000,4069000,NA,0.6,0.5,0.5,1,0,0,NA,NA,NA,NA,0,NA,0,0.5,5,2,300,10.35,5.9,2.07,18,47.54,9.26,2.18,1.3,39.73,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,1,3.18630137,0,NA,NA,1.113943352,2.992995098,2.06069784,1.944482672,1.491361694,0.089905111,2.301029996,1.431363764,0.033423755,0.691965103,2.684845362,-0.99975584,-0.022096619
343,343.1998,1998,1,1,6/12/1998,163,734000,4083000,NA,0.7,0.7,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,3,2,43,18.34,5.7,3.48,31,52.15,16.27,1.85,0.69,29.06,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,4,0.22739726,1,3/21/1998,80,0.77815125,3.28171497,2.553883027,2.120573931,1.462397998,0.245512668,2.357934847,1.591064607,0.439332694,0.450249108,2.823474229,-0.831774743,0.555113302
346,346.1998,1998,1,1,6/19/1998,170,734000,4074000,NA,0.7,0.7,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,5,5,310,24.23,6.1,5.44,35,59.72,15.37,2.38,0.52,22,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,2,1.246575342,0,NA,NA,0.77815125,3.461498527,2.650307523,2.352182518,1.462397998,0.240549248,2.285557309,1.176091259,0.336459734,0.463892989,2.797267541,0.850887689,-0.525347639
350,350.1998,1998,1,1,6/20/1998,171,733000,4081000,NA,0.8,0.7,0.5,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,10,2,190,21.93,5.7,5.06,31,56.98,15.96,1.59,1.19,24.3,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,3,0.246575342,1,3/22/1998,81,1,3.397766256,2.62324929,2.133538908,1.77815125,0.267171728,2.387389826,1.612783857,0.472756449,0.662757832,2.761175813,0.997799279,0.066306858
205,205.1999,1999,1,1,6/1/1999,152,727000,4080000,NA,0.7,1.2,0.5,1,0,0,NA,NA,NA,NA,0,NA,0,0,15,3,298,25.86,7,6.78,70,74.92,16.89,2.23,1.56,0,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,1,1,5.621917808,1,1.339726027,0,NA,NA,1.255272505,3.588271707,2.719331287,2.653212514,1.968482949,0.28780173,2.136720567,1.785329835,0.46834733,0.654176542,2.730782276,0.436137629,-0.899879974
206,206.1999,1999,1,1,6/3/1999,154,730000,4076000,NA,0.8,1.2,0.9,4,0,0,NA,NA,NA,NA,0,NA,0,0,5,1,296,19.42,6.6,5.05,29,70.31,15.96,2.17,0.76,6,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,1,1,3.035616438,2,2.123287671,0,NA,NA,1,3.4363217,2.57054294,2.515873844,1.531478917,0.212187604,2.093421685,1.698970004,0.292256071,0.745855195,2.695481676,0.636761251,0.771061029
208,208.1999,1999,1,1,6/3/1999,154,728000,4078000,NA,0.9,0.8,0.6,1,0,0,NA,NA,NA,NA,0,NA,0,0,5,5,209,27.67,7.4,5.73,41,75.97,14.12,1.78,4.13,0,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,1,1,5.62739726,1,3.468493151,0,NA,NA,1,3.623662707,2.671172843,2.584331224,2.419955748,0.440909082,1.929418926,1.934498451,0.365487985,0.320146286,2.680335513,0.996466642,-0.083989475
220,220.1999,1999,1,1,6/1/1999,152,728000,4080000,NA,0.7,0.6,0.5,1,0,0,NA,NA,NA,NA,0,NA,0,0,15,4,110,24.22,6.7,5.72,28,75.33,13.28,1.41,0.77,4.5,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,1,1,5.621917808,1,4.701369863,0,NA,NA,1.041392685,3.562173863,2.586587305,2.424881637,1.633468456,0.250420002,2.301029996,1.84509804,0.404833717,0.498310554,2.710963119,-0.044242678,-0.999020813
222,222.1999,1999,1,1,6/3/1999,154,729000,4077000,NA,0.8,0.9,0.6,1,0,0,NA,NA,NA,NA,0,NA,0,0,0,2,46,19.26,6,5.05,25,61.45,14.24,3.24,0.68,15,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,1,1,3.035616438,2,3.131506849,0,NA,NA,1,3.374198258,2.517195898,2.686636269,1.477121255,0.240549248,2.243038049,1.763427994,0.367355921,0.57863921,2.733197265,0.901788348,-0.432177945
226,226.1999,1999,1,1,6/2/1999,153,729000,4078000,NA,0.7,0.8,0.7,5,0,0,NA,NA,NA,NA,0,NA,0,0,1,4,222,20.37,5.8,5.6,27,54.69,16.08,1.77,0.66,21,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,1,1,3.260273973,1,4.178082192,0,NA,NA,1.079181246,3.347915187,2.59439255,2.450249108,1.491361694,0.250420002,2.342422681,1.447158031,0.301029996,0.689308859,2.760422483,0.868950838,-0.494898415
238,238.1999,1999,1,1,6/3/1999,154,732000,4075000,NA,0.6,0.6,0.2,0.5,0,0,NA,NA,NA,NA,0,NA,0,1,30,5,35,14.36,6.1,3.92,22,66.82,12.19,1.7,0.58,13.5,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0.284931507,1,0.15890411,1,4/6/1999,96,1,3.283074975,2.322219295,2.278753601,1.278753601,0.193124598,2.201397124,1.342422681,0.170261715,0.451786436,2.733999287,-0.428182669,-0.903692205
244,244.1999,1999,1,1,6/8/1999,159,731000,4074000,NA,1,0.9,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,0,1,270,15.22,5.9,3.68,23,56.14,16.86,2.63,0.74,18,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0.298630137,0,5.194520548,0,NA,NA,0.954242509,3.232742063,2.488550717,2.494154594,1.414973348,0.204119983,2.130333768,1.255272505,0.08278537,0.413299764,2.78604121,-0.176045946,0.984381951
254,254.1999,1999,1,1,6/8/1999,159,734000,4071000,NA,1,0.8,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,10,5,122,21.6,6.8,5.34,29,78.24,11.54,1.95,0.68,3,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,3,0.17260274,1,4/6/1999,96,1,3.5289167,2.475671188,2.515873844,1.531478917,0.320146286,2.416640507,1.770852012,0.423245874,0.552668216,2.640481437,0.498713154,-0.866767091
259,259.1999,1999,1,1,6/3/1999,154,734000,4073000,NA,0.5,0.5,0,0,0,0,NA,NA,NA,NA,0,NA,0,0.5,20,2,28,26.4,6.4,5.91,27,73.67,9.34,2.55,0.41,9,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,2,0.15890411,1,4/6/1999,96,1.079181246,3.589949601,2.471291711,2.720985744,1.397940009,0.245512668,1.977723605,1.995635195,0.271841607,0.517195898,2.822168079,0.270905788,-0.962605866
303,303.1999,1999,1,1,6/4/1999,155,731000,4082000,NA,0.7,0.6,0.3,1,0,0,NA,NA,NA,NA,0,NA,0,0,30,4,44,15.23,5.9,3.98,24,59.82,12.64,3.33,0.6,18,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,3,1.202739726,0,NA,NA,1,3.260548373,2.36361198,2.597695186,1.322219295,0.217483944,2.033423755,1.612783857,0.222716471,0.553883027,2.787460475,0.017701925,0.999843309
307,307.1999,1999,1,1,6/8/1999,159,731000,4079000,NA,0.7,0.6,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,10,3,270,16.79,6,3.79,26,59.62,17.37,1.63,0.98,15,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,3,1.21369863,0,NA,NA,0.954242509,3.301464073,2.544068044,2.330413773,1.579783597,0.322219295,2.285557309,1.505149978,0.161368002,0.170261715,2.813580989,-0.176045946,0.984381951
308,308.1999,1999,1,1,6/2/1999,153,730000,4086000,NA,0.6,0.8,0.6,1,0,0,NA,NA,NA,NA,0,NA,0,0,0.5,7,126,29.93,6.4,8.15,32,70.21,12.86,2.47,0.45,9,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,4,0.191780822,1,3/24/1999,83,1.113943352,3.62355939,2.664641976,2.760422483,1.491361694,0.311753861,2.235528447,1.73239376,0.492760389,0.688419822,2.753583059,0.329990826,0.943984139
309,309.1999,1999,1,1,6/2/1999,153,731000,4086000,NA,0.6,0.7,0.5,2,0,0,NA,NA,NA,NA,0,NA,0,10,25,8,120,15.12,5.7,5.18,28,52.84,13.72,2.1,1.32,24,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,4,0.191780822,1,3/24/1999,83,1.079181246,3.203576775,2.396199347,2.394451681,1.662757832,0.238046103,2.419955748,1.361727836,0.23299611,0.46686762,2.815577748,0.580611184,0.814180971
317,317.1999,1999,1,1,6/4/1999,155,733000,4079000,NA,0.7,0.6,0.3,1,0,0,NA,NA,NA,NA,0,NA,0,0.5,5,5,125,19.8,6.6,5.81,28,74.52,12.42,1.61,0.64,6,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,3,1.202739726,0,NA,NA,1,3.469969209,2.469822016,2.394451681,1.462397998,0.278753601,2.369215857,1.662757832,0.26245109,0.51054501,2.661812686,-0.616040459,0.787714512
319,319.1999,1999,1,1,6/4/1999,155,734000,4079000,NA,0.5,0.6,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,10,1,160,24.22,6.4,5.79,25,72.75,10.43,2.45,0.38,9,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,3,1.202739726,0,NA,NA,1.041392685,3.5470359,2.481442629,2.664641976,1.322219295,0.243038049,2.021189299,1.740362689,0.320146286,0.487138375,2.69019608,0.219425258,-0.975629313
331,331.1999,1999,1,1,6/9/1999,160,738000,4069000,NA,0.8,0.5,0.7,0.5,0,0,NA,NA,NA,NA,0,NA,0,0.5,5,2,300,7.1,5.7,1.91,20,57.68,9.15,2.02,1.16,24,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,1,4.180821918,0,NA,NA,1.204119983,2.913283902,1.892094603,2.049218023,1.278753601,0.127104798,2.238046103,1.361727836,-0.148741651,0.588831726,2.662757832,-0.99975584,-0.022096619
343,343.1999,1999,1,1,6/9/1999,160,734000,4083000,NA,0.8,0.7,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,2,2,43,15.36,5.9,4.05,24,56.15,16.71,2.9,0.62,18,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,3,1.219178082,0,NA,NA,1.176091259,3.236789099,2.488550717,2.541579244,1.342422681,0.222716471,2.250420002,1.531478917,0.149219113,0.382017043,2.754348336,-0.831774743,0.555113302
346,346.1999,1999,1,1,6/3/1999,154,734000,4074000,NA,0.5,0.6,0,0,0,0,NA,NA,NA,NA,0,NA,0,0.5,30,5,310,22.38,6.3,6.79,27,64.5,15.56,3.77,0.58,10.5,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,2,0.15890411,1,4/6/1999,96,1.079181246,3.460446784,2.621176282,2.818225894,1.477121255,0.26245109,2.190331698,1.301029996,0.227886705,0.699837726,2.712649702,0.850887689,-0.525347639
350,350.1999,1999,1,1,6/4/1999,155,733000,4081000,NA,0.7,0.5,0.3,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,10,2,190,19.71,5.9,5.36,26,56.62,16.32,1.83,1.63,18,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,3,1.202739726,0,NA,NA,1.041392685,3.34869419,2.586587305,2.450249108,1.86923172,0.250420002,2.294466226,1.602059991,0.31386722,0.610660163,2.744292983,0.997799279,0.066306858
205,205.2,2000,1,1,6/10/2000,162,727000,4080000,NA,1.1,0.6,0.4,1,0,0,NA,NA,NA,NA,0,NA,0,0,0.5,3,298,28.8,6.7,7.13,24,80.17,17.1,1.99,0.72,0,193,86,55,152,49,4,138,18,65,149,95,160,22.4,26.8,26.3,19.2,15.2,12.4,4.7,2.4,7.3,10.2,14.3,20.6,1,1,6.649315068,1,2.367123288,0,NA,NA,1.278753601,3.664453929,2.771587481,2.350248018,1.681241237,0.31386722,2.127104798,1.707570176,0.553883027,0.597695186,2.80685803,0.436137629,-0.899879974
206,206.2,2000,1,1,6/23/2000,175,730000,4076000,NA,0.8,1.3,0.9,4,0,0,NA,NA,NA,NA,0,NA,0,0,5,1,296,21.24,6.2,5.95,22,73.31,15.97,2.03,0.82,7.89,193,86,55,152,49,4,138,18,65,149,95,160,22.4,26.8,26.3,19.2,15.2,12.4,4.7,2.4,7.3,10.2,14.3,20.6,1,1,4.093150685,1,3.180821918,0,NA,NA,1.079181246,3.493318608,2.609594409,2.225309282,1.602059991,0.283301229,2.227886705,1.785329835,0.397940009,0.755874856,2.752048448,0.636761251,0.771061029
208,208.2,2000,1,1,6/8/2000,160,728000,4078000,NA,0.9,1.6,0,0,0,0,NA,NA,NA,NA,0,NA,0,1,2,5,209,31.69,7,6.61,32,78.91,15.2,1.9,3.99,0,193,86,55,152,49,4,138,18,65,149,95,160,22.4,26.8,26.3,19.2,15.2,12.4,4.7,2.4,7.3,10.2,14.3,20.6,1,1,6.643835616,1,4.484931507,0,NA,NA,1,3.699056855,2.761927838,2.371067862,2.463892989,0.416640507,2.029383778,1.84509804,0.485721426,0.394451681,2.679427897,0.996466642,-0.083989475
220,220.2,2000,1,1,6/8/2000,160,728000,4080000,NA,1,1,0.5,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,5,4,110,25.57,6.8,7.15,24,82.11,14.01,1.46,0.63,1.79,193,86,55,152,49,4,138,18,65,149,95,160,22.4,26.8,26.3,19.2,15.2,12.4,4.7,2.4,7.3,10.2,14.3,20.6,1,1,6.643835616,0,5.723287671,0,NA,NA,1.041392685,3.623145875,2.633468456,2.164352856,1.568201724,0.318063335,2.46686762,1.832508913,0.51851394,0.630427875,2.746634199,-0.044242678,-0.999020813
222,222.2,2000,1,1,6/10/2000,162,729000,4077000,NA,0.8,1,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,15,2,46,17.38,5.5,5.63,18,76.7,17.12,3.01,0.55,2.64,193,86,55,152,49,4,138,18,65,149,95,160,22.4,26.8,26.3,19.2,15.2,12.4,4.7,2.4,7.3,10.2,14.3,20.6,1,1,4.057534247,2,0.531506849,1,11/29/1999,333,1.079181246,3.425860145,2.552668216,2.309630167,1.342422681,0.243038049,2.209515015,1.740362689,0.403120521,0.591064607,2.783903579,0.901788348,-0.432177945
226,226.2,2000,1,1,6/8/2000,160,729000,4078000,NA,1,1,0.5,1,0,0,NA,NA,NA,NA,0,NA,0,0,15,4,222,22.7,6,6.39,21,56.92,17.33,1.66,0.59,23.48,193,86,55,152,49,4,138,18,65,149,95,160,22.4,26.8,26.3,19.2,15.2,12.4,4.7,2.4,7.3,10.2,14.3,20.6,1,1,4.279452055,1,0.526027397,1,11/29/1999,333,1.079181246,3.412292509,2.673941999,2.167317335,1.491361694,0.255272505,2.403120521,1.51851394,0.426511261,0.797267541,2.800029359,0.868950838,-0.494898415
238,238.2,2000,1,1,6/14/2000,166,732000,4075000,NA,0.6,0.8,0.3,0.5,0,0,NA,NA,NA,NA,0,NA,0,2,5,5,35,14.72,6.2,4.15,19,73.44,12.74,1.83,0.62,11.39,193,86,55,152,49,4,138,18,65,149,95,160,22.4,26.8,26.3,19.2,15.2,12.4,4.7,2.4,7.3,10.2,14.3,20.6,0,1,1.317808219,2,0.205479452,1,3/31/2000,91,1.041392685,3.33485569,2.352182518,2.021189299,1.322219295,0.220108088,2.311753861,1.431363764,0.292256071,0.614897216,2.79518459,-0.428182669,-0.903692205
