plot.yr,name,corner1,corner2,corner3,corner4,cover,specnum,spname,year,plot,repeat
2.1992,fraxpenn,2,2,4,4,2,325,Fraxinus pennsylvanica,1992,2,0
2.1992,galiapar,0,0,4,0,2,330,Galium aparine,1992,2,0
2.1992,galicirc,2,2,0,4,2,331,Galium circaezans,1992,2,0
2.1992,geumcana,0,2,4,0,2,342,Geum canadense,1992,2,0
2.1992,helihirs,2,2,0,4,2,357,Helianthus hirsutus,1992,2,0
2.1992,lactludo,2,0,0,2,2,392,Lactuca ludoviciana,1992,2,0
2.1992,leervirg,2,3,0,2,2,399,Leersia virginica,1992,2,0
2.1992,lespproc,2,2,2,2,3,406,Lespedeza procumbens,1992,2,0
2.1992,liataspe,2,0,0,0,1,412,Liatris aspera,1992,2,0
2.1992,menicana,0,2,3,0,2,440,Menispermum canadense,1992,2,0
2.1992,morurubr,0,0,0,1,1,453,Morus rubra,1992,2,0
2.1992,muhlsobo,0,0,0,2,1,457,Muhlenbergia sobolifera,1992,2,0
2.1992,oxaldill,0,0,0,2,1,478,Oxalis dillenii,1992,2,0
2.1992,paripens,2,4,4,3,2,488,Parietaria pensylvanica,1992,2,0
2.1992,partquin,2,3,4,4,2,492,Parthenocissus quinquefolia,1992,2,0
2.1992,phrylept,0,0,0,1,2,511,Phryma leptostachya,1992,2,0
2.1992,physlong,0,2,0,2,2,515,Physalis longifolia,1992,2,0
2.1992,planmajo,0,0,0,2,1,522,Plantago major,1992,2,0
2.1992,polybifl,0,4,0,0,2,535,Polygonatum biflorum,1992,2,0
2.1992,polyconv,0,0,2,0,1,538,Polygonum convolvulus,1992,2,0
2.1992,polyhydr,0,0,0,3,1,540,Polygonum hydropiperoides,1992,2,0
2.1992,polyvirg,0,0,0,2,2,549,Polygonum virginianum,1992,2,0
2.1992,prunamer,2,2,0,0,3,562,Prunus americana,1992,2,0
2.1992,prunsero,0,0,0,1,1,565,Prunus serotina,1992,2,0
2.1992,quermacr,0,0,2,3,2,571,Quercus macrocarpa,1992,2,0
2.1992,quermueh,2,3,3,0,2,573,Quercus muehlenbergii,1992,2,0
2.1992,quershum,2,2,2,4,6,575,Quercus shumardii,1992,2,0
2.1992,rosacaro,2,0,0,4,2,589,Rosa carolina,1992,2,0
2.1992,rubuflag,0,0,0,1,1,592,Rubus flagellaris,1992,2,0
2.1992,ruelstre,2,2,3,3,2,596,Ruellia strepens,1992,2,0
2.1992,rumecris,0,0,0,3,1,598,Rumex crispus,1992,2,0
2.1992,sanicana,2,3,4,4,2,609,Sanicula canadensis,1992,2,0
2.1992,smilherb,0,2,0,0,2,641,Smilax herbacea,1992,2,0
2.1992,smiltamn,0,2,2,2,2,642,Smilax tamnoides,1992,2,0
2.1992,solacaro,0,0,2,0,1,644,Solanum carolinense,1992,2,0
2.1992,soliulmi,3,2,2,2,2,656,Solidago ulmifolia,1992,2,0
2.1992,sorghale,2,0,0,0,1,659,Sorghum halepense,1992,2,0
2.1992,symporbi,0,2,0,0,2,679,Symphoricarpos orbiculatus,1992,2,0
2.1992,thaldasy,0,2,0,0,2,687,Thalictrum dasycarpum,1992,2,0
2.1992,toriarve,2,0,0,0,1,691,Torilis arvensis,1992,2,0
2.1992,toxiradi,0,4,2,0,3,692,Toxicodendron radicans,1992,2,0
2.1992,ulmurubr,2,0,2,2,2,711,Ulmus rubra,1992,2,0
2.1992,verbalte,0,2,2,0,2,768,Verbesina alternifolia,1992,2,0
2.1992,vernbald,0,2,0,0,2,773,Vernonia baldwinii,1992,2,0
2.1992,violsoro,2,2,3,3,2,780,Viola sororia,1992,2,0
3.1992,acalvirg,0,0,0,2,1,4,Acalypha virginica,1992,3,0
3.1992,achimill,0,2,0,0,1,6,Achillea millefolium,1992,3,0
3.1992,bromjapo,0,0,0,1,2,111,Bromus arvensis,1992,3,0
3.1992,brompube,0,0,3,0,1,112,Bromus pubescens,1992,3,0
3.1992,careamph,0,2,0,0,2,123,Carex amphibola,1992,3,0
3.1992,careblan,2,2,0,2,2,127,Carex blanda,1992,3,0
3.1992,carebush,0,0,0,3,2,129,Carex bushii,1992,3,0
3.1992,careceph,0,2,3,2,2,131,Carex cephalophora,1992,3,0
3.1992,carefest,2,3,5,5,3,134,Carex festucacea,1992,3,0
3.1992,cephocci,0,0,0,1,2,157,Cephalanthus occidentalis,1992,3,0
3.1992,chensimp,0,0,0,1,2,178,Chenopodium simplex,1992,3,0
3.1992,cirsalti,0,0,0,1,1,183,Cirsium altissimum,1992,3,0
3.1992,conycana,0,0,0,1,1,197,Conyza canadensis,1992,3,0
3.1992,crotglan,0,0,0,2,1,206,Croton glandulosus var. lindheimeri,1992,3,0
3.1992,dichacum,2,2,3,3,2,253,Dichanthelium acuminatum,1992,3,0
3.1992,elymcana,0,0,3,0,2,280,Elymus canadensis,1992,3,0
3.1992,elymvirg,2,0,2,3,2,283,Elymus virginicus,1992,3,0
3.1992,galiapar,0,2,0,3,1,330,Galium aparine,1992,3,0
3.1992,krigcesp,0,0,0,2,1,388,Krigia caespitosa,1992,3,0
3.1992,lactludo,0,0,0,1,1,392,Lactuca ludoviciana,1992,3,0
3.1992,lepivirg,0,0,0,2,1,401,Lepidium virginicum,1992,3,0
3.1992,miranyct,0,0,0,1,1,447,Mirabilis nyctaginea,1992,3,0
3.1992,muhlsobo,2,0,2,2,3,457,Muhlenbergia sobolifera,1992,3,0
3.1992,oxaldill,0,0,0,1,1,478,Oxalis dillenii,1992,3,0
3.1992,paripens,2,0,2,4,2,488,Parietaria pensylvanica,1992,3,0
3.1992,parofast,0,0,0,2,1,489,Paronychia fastigiata,1992,3,0
3.1992,polyconv,0,2,0,2,2,538,Polygonum convolvulus,1992,3,0
3.1992,polypunc,0,0,0,1,1,544,Polygonum punctatum,1992,3,0
3.1992,polyvirg,0,0,0,1,1,549,Polygonum virginianum,1992,3,0
3.1992,quermari,0,0,0,1,2,572,Quercus marilandica,1992,3,0
3.1992,querstel,2,0,3,2,8,576,Quercus stellata,1992,3,0
3.1992,rubuflag,0,0,0,1,1,592,Rubus flagellaris,1992,3,0
3.1992,ruelhumi,2,0,0,0,2,595,Ruellia humilis,1992,3,0
3.1992,sanicana,0,0,0,1,1,609,Sanicula canadensis,1992,3,0
3.1992,smiltamn,0,0,0,1,2,642,Smilax tamnoides,1992,3,0
3.1992,solacaro,2,0,0,0,2,644,Solanum carolinense,1992,3,0
3.1992,symporbi,0,0,0,2,2,679,Symphoricarpos orbiculatus,1992,3,0
3.1992,toriarve,0,2,0,0,1,691,Torilis arvensis,1992,3,0
3.1992,tridflav,2,3,0,0,2,698,Tridens flavus,1992,3,0
3.1992,trioperf,0,0,0,3,1,706,Triodanis perfoliata,1992,3,0
3.1992,woodobtu,0,0,0,1,1,784, Woodsia obtusa,1992,3,0
4.1992,acalgrac,4,3,0,5,2,2,Acalypha gracilens,1992,4,0
4.1992,achimill,2,0,2,2,2,6,Achillea millefolium,1992,4,0
4.1992,ambrpsil,3,4,0,2,2,30,Ambrosia psilostachya,1992,4,0
4.1992,amorfrut,0,0,0,1,2,35,Amorpha fruticosa,1992,4,0
4.1992,andrgera,4,4,4,5,5,41,Andropogon gerardii,1992,4,0
4.1992,antenegl,3,0,0,0,1,46,Antennaria neglecta,1992,4,0
4.1992,asclvert,0,2,2,0,2,72,Asclepias verticillata,1992,4,0
4.1992,asclviri,2,0,3,2,2,74,Asclepias viridis,1992,4,0
4.1992,asteeric,4,2,0,5,2,79,Symphyotrichum ericoides var. ericoides,1992,4,0
4.1992,asteoole,4,5,2,2,3,84,Symphyotrichum oolentangiense var. oolentangiense,1992,4,0
4.1992,bromjapo,5,4,4,5,3,111,Bromus arvensis,1992,4,0
4.1992,careblan,0,0,0,2,2,127,Carex blanda,1992,4,0
4.1992,carebush,2,0,2,0,2,129,Carex bushii,1992,4,0
4.1992,carefest,4,0,3,5,2,134,Carex festucacea,1992,4,0
4.1992,celtocci,0,0,0,1,2,154,Celtis occidentalis,1992,4,0
4.1992,chamfasc,0,3,0,0,1,164,Chamaecrista fasciculata,1992,4,0
4.1992,cirsalti,0,0,2,0,2,183,Cirsium altissimum,1992,4,0
4.1992,conycana,0,4,0,5,2,197,Conyza canadensis,1992,4,0
4.1992,coregran,0,0,0,1,2,198,Coreopsis grandiflora,1992,4,0
4.1992,corndrum,0,0,0,1,2,201,Cornus drummondii,1992,4,0
4.1992,crotsagi,4,0,0,0,1,204,Crotalaria sagittalis,1992,4,0
4.1992,cypeechi,0,2,2,0,2,219,Cyperus echinatus,1992,4,0
4.1992,dalepurp,2,0,0,0,1,230,Dalea purpurea,1992,4,0
4.1992,desmpani,0,0,0,2,1,248,Desmodium paniculatum,1992,4,0
4.1992,desmsess,2,0,2,0,2,250,Desmodium sessilifolium,1992,4,0
4.1992,dichacum,5,0,0,0,1,253,Dichanthelium acuminatum,1992,4,0
4.1992,dicholig,3,4,2,2,3,259,Dichanthelium oligosanthes,1992,4,0
4.1992,echipall,0,0,3,0,2,269,Echinacea pallida,1992,4,0
4.1992,elymcana,0,0,3,0,2,280,Elymus canadensis,1992,4,0
4.1992,elymvirg,2,3,2,2,4,283,Elymus virginicus,1992,4,0
4.1992,erigannu,2,2,3,3,2,296,Erigeron annuus,1992,4,0
4.1992,fimbpube,0,3,0,0,1,322,Fimbristylis puberula var. puberula,1992,4,0
4.1992,fragvirg,0,2,2,5,2,323,Fragaria virginiana,1992,4,0
4.1992,geumcana,0,0,0,1,2,342,Geum canadense,1992,4,0
4.1992,glancana,3,2,0,0,2,344,Glandularia canadensis,1992,4,0
4.1992,helihirs,4,0,0,0,2,357,Helianthus hirsutus,1992,4,0
4.1992,hypepunc,0,0,0,1,1,370,Hypericum punctatum,1992,4,0
4.1992,juncinte,0,0,2,2,2,380,Juncus interior,1992,4,0
4.1992,lactserr,0,0,0,2,1,393,Lactuca serriola,1992,4,0
4.1992,lepivirg,0,0,0,2,1,401,Lepidium virginicum,1992,4,0
4.1992,lespproc,2,0,0,0,2,406,Lespedeza procumbens,1992,4,0
4.1992,lespvirg,3,2,0,0,2,410,Lespedeza virginica,1992,4,0
4.1992,medilupu,0,0,2,4,2,436,Medicago lupulina,1992,4,0
4.1992,melioffi,0,0,3,2,2,438,Melilotus officinalis,1992,4,0
4.1992,mimoquad,2,2,3,0,3,443,Mimosa quadrivalvis,1992,4,0
4.1992,miranyct,4,0,0,0,1,447,Mirabilis nyctaginea,1992,4,0
4.1992,oxaldill,0,2,3,5,2,478,Oxalis dillenii,1992,4,0
4.1992,panivirg,4,3,3,3,6,487,Panicum virgatum,1992,4,0
4.1992,paripens,0,0,3,3,2,488,Parietaria pensylvanica,1992,4,0
4.1992,penstubi,5,0,0,0,1,504,Penstemon tubiflorus,1992,4,0
4.1992,phrylept,0,0,0,2,1,511,Phryma leptostachya,1992,4,0
4.1992,physlong,0,0,0,1,1,515,Physalis longifolia,1992,4,0
4.1992,poaprate,0,0,3,5,2,529,Poa pratensis,1992,4,0
4.1992,polyhydr,0,0,0,2,1,540,Polygonum hydropiperoides,1992,4,0
4.1992,prunsero,0,0,2,0,1,565,Prunus serotina,1992,4,0
4.1992,quermari,2,3,2,2,7,572,Quercus marilandica,1992,4,0
4.1992,rubuflag,0,0,0,1,2,592,Rubus flagellaris,1992,4,0
4.1992,rudbhirt,0,0,0,5,1,594,Rudbeckia hirta,1992,4,0
4.1992,ruelhumi,4,4,4,3,2,595,Ruellia humilis,1992,4,0
4.1992,rumecris,0,0,0,1,1,598,Rumex crispus,1992,4,0
4.1992,schiscop,0,5,5,5,3,613,Schizachyrium scoparium,1992,4,0
4.1992,scirpend,0,0,0,1,1,616,Scirpus pendulus,1992,4,0
4.1992,sclepauc,3,0,0,0,1,617,Scleria pauciflora,1992,4,0
4.1992,scutparv,0,0,0,1,2,622,Scutellaria parvula,1992,4,0
4.1992,setaparv,3,2,2,5,4,628,Setaria parviflora,1992,4,0
4.1992,solicana,0,0,0,2,2,650,Solidago canadensis,1992,4,0
4.1992,sorghale,0,0,2,0,2,659,Sorghum halepense,1992,4,0
4.1992,sperdiva,0,0,3,0,1,661,Spermolepis divaricata,1992,4,0
4.1992,spheobtu,3,4,0,0,2,663,Sphenopholis obtusata,1992,4,0
4.1992,sporcomp,3,3,3,2,3,668,Sporobolus compositus,1992,4,0
4.1992,stroleio,5,0,2,0,2,677,Strophostyles leiosperma,1992,4,0
4.1992,stylbifl,4,0,0,0,2,678,Stylosanthes biflora,1992,4,0
4.1992,symporbi,2,2,3,2,2,679,Symphoricarpos orbiculatus,1992,4,0
4.1992,taraoffi,0,0,0,2,1,684,Taraxacum officinale,1992,4,0
4.1992,toriarve,0,3,3,5,4,691,Torilis arvensis,1992,4,0
4.1992,tradohie,0,2,3,0,2,693,Tradescantia ohiensis,1992,4,0
4.1992,trifcamp,2,0,0,2,2,701,Trifolium campestre,1992,4,0
4.1992,verbstri,2,0,0,2,1,766,Verbena stricta,1992,4,0
4.1992,vernbald,0,0,2,2,2,773,Vernonia baldwinii,1992,4,0
4.1992,veroarve,0,0,3,0,1,774,Veronica arvensis,1992,4,0
5.1992,acalgrac,0,3,3,0,2,2,Acalypha gracilens,1992,5,0
5.1992,acalvirg,0,0,3,0,1,4,Acalypha virginica,1992,5,0
5.1992,achimill,0,2,0,3,2,6,Achillea millefolium,1992,5,0
5.1992,agrohyem,0,0,0,2,1,18,Agrostis hyemalis,1992,5,0
5.1992,ambrpsil,0,0,0,1,2,30,Ambrosia psilostachya,1992,5,0
5.1992,amorcane,0,2,0,2,2,34,Amorpha canescens,1992,5,0
5.1992,ampearbo,0,0,0,2,1,36,Ampelopsis arborea,1992,5,0
5.1992,andrgera,2,4,5,3,5,41,Andropogon gerardii,1992,5,0
5.1992,anteplan,3,0,0,0,1,47,Antennaria plantaginifolia,1992,5,0
5.1992,arteludo,0,0,0,1,2,66,Artemisia ludoviciana,1992,5,0
5.1992,asclvert,2,0,0,0,2,72,Asclepias verticillata,1992,5,0
5.1992,asclviri,0,2,2,0,2,74,Asclepias viridis,1992,5,0
5.1992,asteoole,4,0,3,0,2,84,Symphyotrichum oolentangiense var. oolentangiense,1992,5,0
5.1992,boutcurt,0,0,3,0,1,105,Bouteloua curtipendula,1992,5,0
5.1992,bromjapo,0,3,2,2,2,111,Bromus arvensis,1992,5,0
5.1992,carebush,0,0,0,1,2,129,Carex bushii,1992,5,0
5.1992,careceph,0,0,2,0,2,131,Carex cephalophora,1992,5,0
5.1992,carefest,0,0,2,0,2,134,Carex festucacea,1992,5,0
5.1992,carenigr,0,0,2,3,2,144,Carex nigromarginata,1992,5,0
5.1992,carycord,0,0,2,0,2,148,Carya cordiformis,1992,5,0
5.1992,carytexa,2,0,0,0,2,150,Carya texana,1992,5,0
5.1992,chamfasc,2,3,5,3,2,164,Chamaecrista fasciculata,1992,5,0
5.1992,cirsalti,0,0,0,1,1,183,Cirsium altissimum,1992,5,0
5.1992,conycana,5,4,3,4,2,197,Conyza canadensis,1992,5,0
5.1992,corndrum,2,0,3,4,2,201,Cornus drummondii,1992,5,0
5.1992,crotsagi,2,4,3,2,2,204,Crotalaria sagittalis,1992,5,0
5.1992,crotglan,2,4,3,2,2,206,Croton glandulosus var. lindheimeri,1992,5,0
5.1992,cypeechi,0,0,0,1,1,219,Cyperus echinatus,1992,5,0
5.1992,desmcili,0,3,3,0,2,242,Desmodium ciliare,1992,5,0
5.1992,desmsess,0,2,0,0,2,250,Desmodium sessilifolium,1992,5,0
5.1992,dichacum,3,0,0,4,2,253,Dichanthelium acuminatum,1992,5,0
5.1992,dicholig,3,3,0,0,2,259,Dichanthelium oligosanthes,1992,5,0
5.1992,dichspha,4,0,4,4,2,260,Dichanthelium sphaerocarpon,1992,5,0
5.1992,digicogn,0,2,0,0,2,262,Digitaria cognata,1992,5,0
5.1992,elymcana,0,0,0,1,1,280,Elymus canadensis,1992,5,0
5.1992,elymvirg,0,0,3,0,2,283,Elymus virginicus,1992,5,0
5.1992,eragspec,4,0,2,0,2,293,Eragrostis spectabilis,1992,5,0
5.1992,erigstri,3,4,3,3,2,298,Erigeron strigosus,1992,5,0
5.1992,fimbpube,2,4,0,2,2,322,Fimbristylis puberula var. puberula,1992,5,0
5.1992,fragvirg,2,0,0,0,2,323,Fragaria virginiana,1992,5,0
5.1992,galaregu,0,0,0,2,2,329,Galactia regularis,1992,5,0
5.1992,geracaro,3,0,0,3,1,340,Geranium carolinianum,1992,5,0
5.1992,hierlong,0,0,0,2,2,363,Hieracium longipilum,1992,5,0
5.1992,houspusi,3,0,0,4,2,365,Houstonia pusilla,1992,5,0
5.1992,lactludo,0,0,3,0,1,392,Lactuca ludoviciana,1992,5,0
5.1992,lechmucr,0,0,0,3,2,396,Lechea mucronata,1992,5,0
5.1992,lespcune,0,0,0,2,2,404,Lespedeza cuneata,1992,5,0
5.1992,lespproc,2,0,3,2,2,406,Lespedeza procumbens,1992,5,0
5.1992,lespvirg,3,2,3,4,2,410,Lespedeza virginica,1992,5,0
5.1992,muhlsobo,0,0,0,1,2,457,Muhlenbergia sobolifera,1992,5,0
5.1992,myosvern,3,0,0,2,1,458,Myosotis verna,1992,5,0
5.1992,oxaldill,3,2,0,2,2,478,Oxalis dillenii,1992,5,0
5.1992,panivirg,2,0,0,2,4,487,Panicum virgatum,1992,5,0
5.1992,paspseta,0,3,0,0,2,497,Paspalum setaceum,1992,5,0
5.1992,physvirg,0,0,2,0,2,517,Physalis virginiana,1992,5,0
5.1992,polyconv,0,0,2,0,1,538,Polygonum convolvulus,1992,5,0
5.1992,prunsero,0,0,0,1,2,565,Prunus serotina,1992,5,0
5.1992,quermari,2,2,0,3,7,572,Quercus marilandica,1992,5,0
5.1992,rubuflag,0,0,2,0,2,592,Rubus flagellaris,1992,5,0
5.1992,rudbhirt,3,2,4,2,2,594,Rudbeckia hirta,1992,5,0
5.1992,rumehast,3,0,0,0,1,599,Rumex hastatulus,1992,5,0
5.1992,sagidecu,3,0,0,0,1,601,Sagina decumbens,1992,5,0
5.1992,schiscop,3,4,4,5,6,613,Schizachyrium scoparium,1992,5,0
5.1992,scutparv,0,2,2,0,2,622,Scutellaria parvula,1992,5,0
5.1992,soliulmi,0,0,0,1,2,656,Solidago ulmifolia,1992,5,0
5.1992,sperdiva,0,2,3,2,2,661,Spermolepis divaricata,1992,5,0
5.1992,unknspir,0,0,0,2,1,666,Spiranthes UNKNOWN,1992,5,0
5.1992,stroleio,2,0,0,0,1,677,Strophostyles leiosperma,1992,5,0
5.1992,symporbi,2,0,3,0,2,679,Symphoricarpos orbiculatus,1992,5,0
5.1992,toriarve,0,0,0,1,2,691,Torilis arvensis,1992,5,0
5.1992,toxiradi,0,0,2,0,1,692,Toxicodendron radicans,1992,5,0
5.1992,tradohie,0,3,2,0,2,693,Tradescantia ohiensis,1992,5,0
5.1992,tridflav,3,3,3,4,3,698,Tridens flavus,1992,5,0
5.1992,trifcamp,0,2,2,2,2,701,Trifolium campestre,1992,5,0
5.1992,trioperf,3,2,4,5,2,706,Triodanis perfoliata,1992,5,0
5.1992,ulmurubr,3,0,2,2,2,711,Ulmus rubra,1992,5,0
5.1992,valeradi,0,0,0,2,1,759,Valerianella radiata,1992,5,0
5.1992,veroarve,3,0,2,3,1,774,Veronica arvensis,1992,5,0
5.1992,violbico,0,0,0,2,1,778,Viola bicolor,1992,5,0
5.1992,vulpocto,5,0,3,3,2,783,Vulpia octoflora,1992,5,0
6.1992,acalvirg,2,0,0,0,1,4,Acalypha virginica,1992,6,0
6.1992,ageralti,3,3,2,5,4,14,Ageratina altissima,1992,6,0
6.1992,agripube,2,0,0,0,1,16,Agrimonia pubescens,1992,6,0
6.1992,amphbrac,2,2,0,3,2,39,Amphicarpaea bracteata,1992,6,0
6.1992,arisdrac,0,0,0,1,1,56,Arisaema dracontium,1992,6,0
6.1992,brompube,3,2,2,2,2,112,Bromus pubescens,1992,6,0
