plot,yr,plotnum,yr.plot,205,206,208,220,222,226,238,244,254,259,303,307,308,309,317,319,331,343,346,350,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,OrBis,ChBis,bison,cattle,YrsOB,BP5Yrs,YrsSLB,burn,spring,summer,fall,slope,northness,eastness,OM,pH,SolS,logP,logCa,logFe,logMg,logK,logNa,logB,logMn,logCu,logZn,logAl,PDSIavg,SodTemp,SPI1,SPI12,SPI24,rain1,rain2,rain3,rain4,rain5,rain6,rain7,rain8,rain9,rain10,rain11,rain12,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,temp10,temp11,temp12,sum.rain,win.rain,spr.rain,sum.temp,win.temp,spr.temp,rain.avg,temp.avg,rich1,rich2,rich3,rich4,rich5,A.cov,P.cov,S.cov,T.cov,A.p,P.p,S.p,T.p,ForbLeg.cov,Forb.cov,Gsum.cov,G3.cov,G4.cov,Leg.cov,Wood.cov,F.p,Gsum.p,G3.p,G4.p,L.p,W.p
303,1998,303.1998,1998.303,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.202739726,1,1,0,0,4,0.999843309,0.017701925,4.33,5.8,28,0.903089987,3.305781151,2.133538908,2.447158031,2.361727836,1.477121255,-0.107905397,1.643452676,0.311753861,0.655138435,2.810904281,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,80,44.5,26.75,13,6,24,130,4,0,14,64,2,0,103,78,51,28,23,25,4,41,23,14,9,14,2
307,1998,307.1998,1998.307,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0.202739726,1,1,0,0,3,0.984381951,-0.176045946,4.08,5.8,28,0.903089987,3.249687428,2.394451681,2.56937391,2.08278537,1.591064607,-0.13076828,1.531478917,0.517195898,0.354108439,2.783188691,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,72,42,26.5,10.5,5.5,37,111,0,0,20,52,0,0,67,53,81,40,41,14,0,28,37,21,16,7,0
308,1998,308.1998,1998.308,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.208219178,1,1,0,0,7,0.943984139,0.329990826,8.29,6.4,33,1.176091259,3.671450554,2.155336037,2.719331287,2.376576957,1.414973348,0.029383778,1.672097858,0.604226053,0.691965103,2.795880017,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,49,30.75,22,12.75,5.5,14,84,2,0,8,40,1,0,68,50,30,14,16,18,2,24,15,7,8,9,1
309,1998,309.1998,1998.309,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.208219178,1,1,0,0,8,0.814180971,0.580611184,6.44,5.8,35,0.954242509,3.242292905,2.426511261,2.545307116,2.136720567,1.633468456,-0.102372909,1.380211242,0.271841607,0.606381365,2.839478047,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,77,43.25,26,9.75,1.75,35,112,4,0,19,56,2,0,91,70,56,31,25,21,4,38,26,16,10,11,2
317,1998,317.1998,1998.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0.216438356,1,1,0,0,5,0.787714512,-0.616040459,5.19,6.6,35,0.903089987,3.572755465,2.348304863,2.584331224,2.149219113,1.556302501,0.037426498,1.73239376,0.396199347,0.424881637,2.768638101,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,67,40.75,26,13.25,6.5,25,105,2,0,14,52,1,0,72,62,60,37,23,10,0,33,29,19,10,5,0
319,1998,319.1998,1998.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.216438356,1,1,0,0,1,-0.975629313,0.219425258,5.83,6.3,30,1.079181246,3.663889299,2.127104798,2.605305046,2.459392488,1.531478917,-0.065501549,1.919078092,0.46686762,0.559906625,2.788875116,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,57,30,19,9.5,4.5,20,95,0,0,12,45,0,0,64,58,51,22,29,6,0,30,24,11,13,3,0
331,1998,331.1998,1998.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.18630137,0,0,0,0,2,-0.022096619,-0.99975584,2.07,5.9,18,1.113943352,2.992995098,2.301029996,2.06069784,1.944482672,1.491361694,-0.638272164,1.431363764,0.033423755,0.691965103,2.684845362,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,79,49.25,32.5,12.5,3.5,61,91,0,0,32,47,0,0,88,69,61,35,26,19,3,38,30,18,12,9,2
343,1998,343.1998,1998.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.22739726,1,1,0,0,2,0.555113302,-0.831774743,3.48,5.7,31,0.77815125,3.28171497,2.357934847,2.553883027,2.120573931,1.462397998,-0.119186408,1.591064607,0.439332694,0.450249108,2.823474229,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,54,32,21.5,11,4.75,17,94,0,0,11,43,0,0,47,37,62,27,35,10,2,21,27,14,13,5,1
346,1998,346.1998,1998.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1.246575342,0,0,0,0,5,-0.525347639,0.850887689,5.44,6.1,35,0.77815125,3.461498527,2.285557309,2.650307523,2.352182518,1.462397998,-0.13076828,1.176091259,0.336459734,0.463892989,2.797267541,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,69,35,20.5,9.25,3.75,21,116,2,2,12,55,1,1,85,71,50,22,28,14,6,38,21,11,10,7,3
350,1998,350.1998,1998.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0.246575342,1,1,0,0,2,0.066306858,0.997799279,5.06,5.7,31,1,3.397766256,2.387389826,2.62324929,2.133538908,1.77815125,-0.070581074,1.612783857,0.472756449,0.662757832,2.761175813,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,59,34,22.5,12,4.75,19,103,4,0,9,48,2,0,67,55,55,26,29,12,4,28,23,13,10,6,2
205,1999,205.1999,1999.205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5.621917808,1,1.339726027,0,0,0,0,3,-0.899879974,0.436137629,6.78,7,70,1.255272505,3.588271707,2.136720567,2.719331287,2.653212514,1.968482949,-0.026872146,1.785329835,0.46834733,0.654176542,2.730782276,2.870666673,70.2,0.54,1.61,1.05,2.42,2.07,3.41,5.73,6.36,1.93,6.93,1.03,5.42,8.27,4.06,1.61,38.8,46.7,45.8,59.5,66.2,76.6,80.6,80.2,77.2,60.5,51.8,38,3.8275,4.09,23.025,78.65,47.275,54.55,4.103333333,60.15833333,78,47.5,32.25,15.25,5.25,57,102,4,0,30,46,2,0,109,88,52,32,20,21,2,46,22,14,8,9,1
206,1999,206.1999,1999.206,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3.035616438,1,4.180821918,0,0,0,0,1,0.771061029,0.636761251,5.05,6.6,29,1,3.4363217,2.093421685,2.57054294,2.515873844,1.531478917,-0.200659451,1.698970004,0.292256071,0.745855195,2.695481676,2.870666673,70.2,0.54,1.61,1.05,2.42,2.07,3.41,5.73,6.36,1.93,6.93,1.03,5.42,8.27,4.06,1.61,38.8,46.7,45.8,59.5,66.2,76.6,80.6,80.2,77.2,60.5,51.8,38,3.8275,4.09,23.025,78.65,47.275,54.55,4.103333333,60.15833333,80,42.25,24.25,10.5,3.25,25,130,5,2,16,61,2,1,97,62,58,36,22,35,7,36,26,16,10,15,3
208,1999,208.1999,1999.208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5.62739726,1,3.468493151,0,0,0,0,5,-0.083989475,0.996466642,5.73,7.4,41,1,3.623662707,1.929418926,2.671172843,2.584331224,2.419955748,0.245512668,1.934498451,0.365487985,0.320146286,2.680335513,2.870666673,70.2,0.54,1.61,1.05,2.42,2.07,3.41,5.73,6.36,1.93,6.93,1.03,5.42,8.27,4.06,1.61,38.8,46.7,45.8,59.5,66.2,76.6,80.6,80.2,77.2,60.5,51.8,38,3.8275,4.09,23.025,78.65,47.275,54.55,4.103333333,60.15833333,80,44,26.75,15.25,4.75,56,111,2,0,29,50,1,0,108,88,59,34,25,20,2,45,24,15,9,10,1
220,1999,220.1999,1999.22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5.621917808,1,4.701369863,0,0,0,0,4,-0.999020813,-0.044242678,5.72,6.7,28,1.041392685,3.562173863,2.301029996,2.586587305,2.424881637,1.633468456,-0.107905397,1.84509804,0.404833717,0.498310554,2.710963119,2.870666673,70.2,0.54,1.61,1.05,2.42,2.07,3.41,5.73,6.36,1.93,6.93,1.03,5.42,8.27,4.06,1.61,38.8,46.7,45.8,59.5,66.2,76.6,80.6,80.2,77.2,60.5,51.8,38,3.8275,4.09,23.025,78.65,47.275,54.55,4.103333333,60.15833333,67,34.25,16.75,8.25,2.75,24,110,4,0,13,52,2,0,80,64,56,36,20,16,2,33,24,17,7,9,1
222,1999,222.1999,1999.222,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3.035616438,2,3.131506849,0,0,0,0,2,-0.432177945,0.901788348,5.05,6,25,1,3.374198258,2.243038049,2.517195898,2.686636269,1.477121255,-0.13076828,1.763427994,0.367355921,0.57863921,2.733197265,2.870666673,70.2,0.54,1.61,1.05,2.42,2.07,3.41,5.73,6.36,1.93,6.93,1.03,5.42,8.27,4.06,1.61,38.8,46.7,45.8,59.5,66.2,76.6,80.6,80.2,77.2,60.5,51.8,38,3.8275,4.09,23.025,78.65,47.275,54.55,4.103333333,60.15833333,68,34,17.5,9,4,29,116,2,0,15,52,1,0,91,73,55,29,26,18,1,36,22,14,8,9,1
226,1999,226.1999,1999.226,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3.260273973,1,4.178082192,0,0,0,0,4,-0.494898415,0.868950838,5.6,5.8,27,1.079181246,3.347915187,2.342422681,2.59439255,2.450249108,1.491361694,-0.107905397,1.447158031,0.301029996,0.689308859,2.760422483,2.870666673,70.2,0.54,1.61,1.05,2.42,2.07,3.41,5.73,6.36,1.93,6.93,1.03,5.42,8.27,4.06,1.61,38.8,46.7,45.8,59.5,66.2,76.6,80.6,80.2,77.2,60.5,51.8,38,3.8275,4.09,23.025,78.65,47.275,54.55,4.103333333,60.15833333,62,34.75,16.5,7,2.75,15,113,4,0,8,52,2,0,83,67,43,23,20,16,6,32,20,11,9,8,2
238,1999,238.1999,1999.238,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.284931507,1,0.15890411,1,1,0,0,5,-0.903692205,-0.428182669,3.92,6.1,22,1,3.283074975,2.201397124,2.322219295,2.278753601,1.278753601,-0.251811973,1.342422681,0.170261715,0.451786436,2.733999287,2.870666673,70.2,0.54,1.61,1.05,2.42,2.07,3.41,5.73,6.36,1.93,6.93,1.03,5.42,8.27,4.06,1.61,38.8,46.7,45.8,59.5,66.2,76.6,80.6,80.2,77.2,60.5,51.8,38,3.8275,4.09,23.025,78.65,47.275,54.55,4.103333333,60.15833333,74,46.25,30.5,16.5,5.75,33,113,2,0,17,55,1,0,82,68,64,34,30,14,4,35,30,18,12,7,2
244,1999,244.1999,1999.244,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.298630137,0,5.194520548,0,0,0,0,1,0.984381951,-0.176045946,3.68,5.9,23,0.954242509,3.232742063,2.130333768,2.488550717,2.494154594,1.414973348,-0.22184875,1.255272505,0.08278537,0.413299764,2.78604121,2.870666673,70.2,0.54,1.61,1.05,2.42,2.07,3.41,5.73,6.36,1.93,6.93,1.03,5.42,8.27,4.06,1.61,38.8,46.7,45.8,59.5,66.2,76.6,80.6,80.2,77.2,60.5,51.8,38,3.8275,4.09,23.025,78.65,47.275,54.55,4.103333333,60.15833333,79,38,22.75,12,4.25,40,120,2,1,20,57,1,1,89,67,71,40,31,22,3,33,32,20,12,12,2
254,1999,254.1999,1999.254,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.17260274,1,1,0,0,5,-0.866767091,0.498713154,5.34,6.8,29,1,3.5289167,2.416640507,2.475671188,2.515873844,1.531478917,0.037426498,1.770852012,0.423245874,0.552668216,2.640481437,2.870666673,70.2,0.54,1.61,1.05,2.42,2.07,3.41,5.73,6.36,1.93,6.93,1.03,5.42,8.27,4.06,1.61,38.8,46.7,45.8,59.5,66.2,76.6,80.6,80.2,77.2,60.5,51.8,38,3.8275,4.09,23.025,78.65,47.275,54.55,4.103333333,60.15833333,55,32,19.75,11.75,6.5,26,89,2,0,13,41,1,0,54,46,61,39,22,8,2,22,27,18,9,5,1
259,1999,259.1999,1999.259,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0.15890411,1,1,0,0,2,-0.962605866,0.270905788,5.91,6.4,27,1.079181246,3.589949601,1.977723605,2.471291711,2.720985744,1.397940009,-0.119186408,1.995635195,0.271841607,0.517195898,2.822168079,2.870666673,70.2,0.54,1.61,1.05,2.42,2.07,3.41,5.73,6.36,1.93,6.93,1.03,5.42,8.27,4.06,1.61,38.8,46.7,45.8,59.5,66.2,76.6,80.6,80.2,77.2,60.5,51.8,38,3.8275,4.09,23.025,78.65,47.275,54.55,4.103333333,60.15833333,67,38.75,21.75,9.5,5.25,34,107,0,0,16,51,0,0,79,66,62,27,35,13,0,33,28,14,14,6,0
303,1999,303.1999,1999.303,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1.202739726,0,0,0,0,4,0.999843309,0.017701925,3.98,5.9,24,1,3.260548373,2.033423755,2.36361198,2.597695186,1.322219295,-0.187086643,1.612783857,0.222716471,0.553883027,2.787460475,2.870666673,70.2,0.54,1.61,1.05,2.42,2.07,3.41,5.73,6.36,1.93,6.93,1.03,5.42,8.27,4.06,1.61,38.8,46.7,45.8,59.5,66.2,76.6,80.6,80.2,77.2,60.5,51.8,38,3.8275,4.09,23.025,78.65,47.275,54.55,4.103333333,60.15833333,88,52,28.75,18.25,6.75,39,141,4,0,19,67,2,0,124,95,56,30,26,29,4,46,26,15,11,14,2
